player_id,player_name,date_of_birth,nationality,import_status,source_label,source_url,verified_at,notes
991903,Laura Clemesha,1992-01-21,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Laura_Clemesha,2026-04-17,
80080,Laura Geitz,1987-11-04,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Laura_Geitz,2026-04-18,
80105,Laura Langman,1986-04-16,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Laura_Langman,2026-04-18,
991898,Laura Packard,,,,,,,
80296,Laura Scherian,1988-06-26,Australia,local,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Laura_Scherian,2026-04-17,
80139,Laura von Bertouch,1981-12-09,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Laura_von_Bertouch,2026-04-17,
80034,Lauren Burgess,,,,,,,
1029533,Lauren Frew,2001-12-12,Australia,local,Wikipedia team page (Adelaide Thunderbirds 2026 squad),https://en.wikipedia.org/wiki/Adelaide_Thunderbirds,2026-04-19,
80081,Lauren Nourse,1982-08-10,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Lauren_Nourse,2026-04-17,
1001803,Lauren Parkinson,1998-01-30,Australia,local,2025 SSN Master Sheet.ods,,2026-04-19,
80245,Lavinia Lavea,,,,,,,
80814,Layla Guscoth,1992-03-02,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Layla_Guscoth,2026-04-18,
80074,Leah Shoard,1986-05-23,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Leah_Shoard,2026-04-17,
80057,Leana de Bruin,,,,,,,
1029514,Leesa Mi Mi,2001-05-18,Australia,local,Wikipedia team page (Sunshine Coast Lightning 2026 squad),https://en.wikipedia.org/wiki/Sunshine_Coast_Lightning,2026-04-19,
80576,Leigh Waddington,,,,,,,
1021095,Leilani Rohweder,,,,,,,
1001865,Lenize Potgieter,1994-05-02,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Lenize_Potgieter,2026-04-18,
80094,Liana Leota,1984-10-31,New Zealand,import,Famous Birthdays (netball players),https://www.famousbirthdays.com/people/liana-leota.html,2026-04-20,
1027549,Lili Gorman-Brown,1999-06-24,,,2025 SSN Master Sheet.ods,,2026-04-19,
1034295,Lily Graham,2005-09-27,Australia,local,Wikipedia team page (Melbourne Vixens 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Vixens,2026-04-19,
1029504,Lily Gribble,,,,,,,
80454,Lindal Rohde,1990-09-21,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Lindal_Rohde,2026-04-17,
80578,Lisa Millman,,,,,,,
994224,Liz Watson,1994-03-30,Australia,local,Wikipedia team page (Sunshine Coast Lightning 2026 squad),https://en.wikipedia.org/wiki/Sunshine_Coast_Lightning,2026-04-19,
80247,Louise Thayer,,,,,,,
1022294,Lucy Austin,2001-12-20,Australia,local,Wikipedia team page (Giants Netball 2026 squad),https://en.wikipedia.org/wiki/Giants_Netball,2026-04-19,
1015274,Macy Gardner,2000-06-07,Australia,local,Wikipedia team page (Queensland Firebirds 2026 squad),https://en.wikipedia.org/wiki/Queensland_Firebirds,2026-04-19,
1029515,Maddi Ridley,,,,,,,
995217,Maddie Hay,1995-04-11,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Maddie_Hay,2026-04-17,
1015543,Maddie Hinchliffe,1998-05-25,Australia,local,2025 SSN Master Sheet.ods,,2026-04-19,
1006791,Maddy Gordon,2000-01-16,New Zealand,import,Wikipedia team page (Queensland Firebirds 2026 squad),https://en.wikipedia.org/wiki/Queensland_Firebirds,2026-04-19,
998401,Maddy McAuliffe,,,,,,,
80439,Maddy Proud,1993-12-04,Australia,local,Wikipedia team page (New South Wales Swifts 2026 squad),https://en.wikipedia.org/wiki/New_South_Wales_Swifts,2026-04-19,
1003784,Maddy Turner,1995-12-17,Australia,local,Wikipedia team page (New South Wales Swifts 2026 squad),https://en.wikipedia.org/wiki/New_South_Wales_Swifts,2026-04-19,
80041,Madi Browne,,,,,,,
1027543,Maggie Caris,2002-12-21,Australia,local,2025 SSN Master Sheet.ods,,2026-04-19,
994225,Maggie Lind,,,,,,,
1000831,Mahalia Cassidy,1995-10-09,Australia,local,Wikipedia team page (Sunshine Coast Lightning 2026 squad),https://en.wikipedia.org/wiki/Sunshine_Coast_Lightning,2026-04-19,
80710,Maia Wilson,,,,,,,
1016033,Maisie Nankivell,1999-09-29,Australia,local,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Maisie_Nankivell,2026-04-17,
991906,Malia Vaka,,,,,,,
80353,Malysha Kelly,1990-01-14,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Malysha_Kelly,2026-04-18,
80005,Mandy Edwards,1982-07-28,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Mandy_Edwards,2026-04-17,
80018,Maree Bowden,,,,,,,
80100,Maria Folau,1987-02-18,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Maria_Folau,2026-04-18,
1001916,Maria Lutua,,,,,,,
1016559,Mary Cholhok,1997-01-03,Uganda,import,Wikipedia team page (Queensland Firebirds 2026 squad),https://en.wikipedia.org/wiki/Queensland_Firebirds,2026-04-19,
1007301,Matilda Garrett,1998-08-11,Australia,local,Wikipedia team page (Adelaide Thunderbirds 2026 squad),https://en.wikipedia.org/wiki/Adelaide_Thunderbirds,2026-04-19,
1013638,Matilda McDonell,2000-06-22,Australia,local,Wikipedia team page (Giants Netball 2026 squad),https://en.wikipedia.org/wiki/Giants_Netball,2026-04-19,
1013629,Matisse Letherbarrow,2002-01-07,Australia,local,Wikipedia team page (Giants Netball 2026 squad),https://en.wikipedia.org/wiki/Giants_Netball,2026-04-19,
80079,Meegan Rooney,1984-02-18,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Meegan_Rooney,2026-04-17,
1003472,Megan Craig,,,,,,,
80088,Megan Dehn,,,,,,,
80090,Megan Hutton,,,,,,,
1013050,Melissa Bragg,1994-12-17,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Melissa_Bragg,2026-04-17,
80013,Melissa Rowland,1989-05-18,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Melissa_Rowland,2026-04-17,
80471,Melissa Tallent,,,,,,,
80702,Meretini Fuimaono,,,,,,,
1040372,Mia Lavis,2006-05-23,,,Club website profile (Melbourne Vixens),https://melbournevixens.com.au/team/profile/mia-lavis,2026-04-20,
1021092,Mia Stower,,,,,,,
80474,Micaela Wilson,1992-11-03,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Micaela_Wilson,2026-04-17,
1001698,Michaela Sokolich-Beatson,,,,,,,
1007303,Mikaela Vaughan,,,,,,,
80006,Mo'onia Gerrard,,,,,,,
